Order_ID,Customer_Name,Email,Product_ID,Product_Category,Quantity,Unit_Price,Shipping_Cost,Payment_Method,Delivery_Status,Order_Date
ORD-1825,Amit$,,P-100@,Home & Kitchen,5,218.54,,Cash on Delivery,Pending,01/14/2023
ORD-1447,Rahul@,test@yahoo.com,P-100@,Electronics,2,477.82,,Credit Card,,30-07-2023
ORD-1778,,test@yahoo.com,P-100@,Electronics,one,379.4,,Credit Card,Delivered,06-12-2023
ORD-1425,Rahul@,test@yahoo.com,P#200,Electronics,10,319.4,,Paypal,Pending,03/16/2023
ORD-2047,Neha!!,wrong@email@.com,P-100@,Electronics,1,120.21,,Net banking,Cancelled,09/20/2023
ORD-1522,,wrong@email@.com,,Fashion,2,12#0.2,,Credit Card,,19-09-2023
ORD-1244,Ankit#,test@yahoo.com,P_300,Fashion,2,76.14,,,Cancelled,03/26/2023
ORD-1749,,,P_300,Fashion,2,439.78,,Credit Card,Pending,19-08-2023
ORD-1727,Neha!!,,P-100@,Electronics,two,320.5,,Credit Card,Cancelled,04-04-2023
ORD-1966,Rohit,wrong@email@.com,P-100@,,2,368.63,,,Delivered,02-07-2023
ORD-2179,Amit$,wrong@email@.com,P_300,,,59.26,,Paypal,Delivered,09/26/2023
ORD-1266,Rahul@,test@yahoo.com,P 400,Home & Kitchen,10,486.46,,Paypal,Delivered,29-11-2023
ORD-1858,Rahul@,,,Fashion,three,424.6,,Credit Card,Delivered,18-11-2023
ORD-1529,S@nja y,test@yahoo.com,P-100@,Home & Kitchen,,145$6.55,,,Pending,07-07-2023
ORD-1818,,test@yahoo.com,P-100@,,1,131.82,,Paypal,Delivered,23-12-2023
ORD-1402,Ankit#,,P-100@,Electronics,2,132.53,,,Cancelled,09-02-2023
ORD-1178,Rahul@,demo@outlook.com,P 400,Home & Kitchen,2,186.91,,Credit Card,Delivered,07-05-2023
ORD-1557,Ankit#,,P-100@,,,286.14,,Credit Card,Cancelled,05/31/2023
ORD-1728,,demo@outlook.com,P#200,Home & Kitchen,10,244.38,,,Pending,28-11-2023
ORD-2038,Rohit,wrong@email@.com,P 400,Electronics,10,181.05,,Net banking,Pending,17-05-2023
ORD-1962,Priya,user@gmail.com,,Fashion,10,325.33,,Cash on Delivery,,27-08-2023
ORD-1812,Neha!!,demo@outlook.com,P_300,Electronics,5,112.77,,Paypal,Cancelled,17-04-2023
ORD-1954,S@nja y,user@gmail.com,,Home & Kitchen,10,181.47,,Paypal,,10-04-2023
 ORD-1560 ,Neha!!,wrong@email@.com,P-100@,Fashion,5,214.86,,,,06-06-2023
ORD-1339,Rohit,demo@outlook.com,P_300,Electronics,10,255.23,,,,12-07-2023
ORD-1010,S@nja y,,P#200,Home & Kitchen,2,403.33,,Net banking,Delivered,07/29/2023
ORD-1209,Ankit#,demo@outlook.com,P_300,Fashion,10,139.85,,Paypal,Delivered,25-06-2023
ORD-2059,,user@gmail.com,,,10,281.41,,Credit Card,,06-11-2023
ORD-1879,Amit$,test@yahoo.com,P#200,Electronics,1,316.59,,,Delivered,08-12-2023
ORD-1524,Ankit#,,P 400,Electronics,2,70.9,,Credit Card,,09-07-2023
ORD-1222,Rohit,demo@outlook.com,,Home & Kitchen,5,323.4,,Net banking,Delivered,07-03-2023
ORD-1025,Rohit,user@gmail.com,P 400,Fashion,2,126.74,,Net banking,,10-05-2023
ORD-1683,Priya,,P 400,Fashion,10,79.27,,,Delivered,09/14/2023
ORD-1593,Amit$,,,Fashion,1,477,,Cash on Delivery,Cancelled,30-05-2023
ORD-1192,Neha!!,test@yahoo.com,P 400,Electronics,10,484.53,,,Cancelled,05/14/2023
ORD-1537,Neha!!,demo@outlook.com,P 400,Home & Kitchen,1,413.78,,Paypal,Cancelled,06/19/2023
ORD-1177,Neha!!,test@yahoo.com,P-100@,,10,187.08,,Net banking,Cancelled,12/19/2023
ORD-1132,Ankit#,test@yahoo.com,P-100@,Home & Kitchen,1,93.95,,Net banking,Pending,05/21/2023
ORD-1475,Rahul@,demo@outlook.com,P_300,,10,357.9,,Cash on Delivery,,31-05-2023
ORD-1148,Neha!!,user@gmail.com,P_300,Home & Kitchen,,248.07,,,Delivered,03-10-2023
ORD-1998,Priya,demo@outlook.com,P-100@,Home & Kitchen,2,104.92,,Paypal,Pending,08-12-2023
ORD-2057,Neha!!,wrong@email@.com,,Electronics,2,272.83,,Net banking,Cancelled,02-12-2023
 ORD-1380 ,S@nja y,test@yahoo.com,P-100@,Electronics,2,65.47,,Cash on Delivery,,06-04-2023
ORD-1744,Priya,test@yahoo.com,P#200,,2,459.19,,Cash on Delivery,Cancelled,28-12-2023
